C,Bb,Eb,F,G
C(add2),Bb(add2),Eb(add2),F(add2),G(add2)
C(add4),Bb(add4),Eb(add4),F(add4),G(add4)
C6,Bb6,Eb6,F6,G6
C6(9),Bb6(9),Eb6(9),F6(9),G6(9)
CMaj7,BbMaj7,EbMaj7,FMaj7,GMaj7
CMaj9,BbMaj9,EbMaj9,FMaj9,GMaj9
F,Eb,Ab,Bb,C
F(add2),Eb(add2),Ab(add2),Bb(add2),C(add2)
FMaj13(#11)(9),EbMaj13(#11)(9),AbMaj13(#11)(9),BbMaj13(#11)(9),CMaj13(#11)(9)
FMaj7,EbMaj7,AbMaj7,BbMaj7,CMaj7
FMaj7(#11),EbMaj7(#11),AbMaj7(#11),BbMaj7(#11),CMaj7(#11)
FMaj9,EbMaj9,AbMaj9,BbMaj9,CMaj9
FMaj9(#11),EbMaj9(#11),AbMaj9(#11),BbMaj9(#11),CMaj9(#11)
G,F,Bb,C,D
G(add2),F(add2),Bb(add2),C(add2),D(add2)
G(add4),F(add4),Bb(add4),C(add4),D(add4)
G13,F13,Bb13,C13,D13
G13(9),F13(9),Bb13(9),C13(9),D13(9)
G13sus(9)(add3),F13sus(9)(add3),Bb13sus(9)(add3),C13sus(9)(add3),D13sus(9)(add3)
G13sus(add3),F13sus(add3),Bb13sus(add3),C13sus(add3),D13sus(add3)
G7,F7,Bb7,C7,D7
G7sus(add3),F7sus(add3),Bb7sus(add3),C7sus(add3),D7sus(add3)
G9,F9,Bb9,C9,D9
A-(add4),G-(add4),C-(add4),D-(add4),E-(add4)
A-(addb6),G-(addb6),C-(addb6),D-(addb6),E-(addb6)
A-(b6)(9),G-(b6)(9),C-(b6)(9),D-(b6)(9),E-(b6)(9)
A-11,G-11,C-11,D-11,E-11
A-11(9),G-11(9),C-11(9),D-11(9),E-11(9)
A-7,G-7,C-7,D-7,E-7
A-7(addb6),G-7(addb6),C-7(addb6),D-7(addb6),E-7(addb6)
A-9,G-9,C-9,D-9,E-9
A-9(addb6),G-9(addb6),C-9(addb6),D-9(addb6),E-9(addb6)
B-11(b5),A-11(b5),D-11(b5),E-11(b5),F#-11(b5)
Bdim,Adim,Ddim,Edim,F#dim
Bhdim7,Ahdim7,Dhdim7,Ehdim7,F#hdim7
C(add2)/E,Bb(add2)/D,Eb(add2)/G,F(add2)/A,G(add2)/B
C/E,Bb/D,Eb/G,F/A,G/B
D-,C-,F-,G-,A-
D-(add2),C-(add2),F-(add2),G-(add2),A-(add2)
D-11,C-11,F-11,G-11,A-11
D-11(9),C-11(9),F-11(9),G-11(9),A-11(9)
D-13(11),C-13(11),F-13(11),G-13(11),A-13(11)
D-13(11)(9),C-13(11)(9),F-13(11)(9),G-13(11)(9),A-13(11)(9)
D-6,C-6,F-6,G-6,A-6
D-6(9),C-6(9),F-6(9),G-6(9),A-6(9)
D-7,C-7,F-7,G-7,A-7
D-9,C-9,F-9,G-9,A-9
F(add2)/A,Eb(add2)/G,Ab(add2)/C,Bb(add2)/D,C(add2)/E
F/A,Eb/G,Ab/C,Bb/D,C/E
G(add2)/B,F(add2)/A,Bb(add2)/D,C(add2)/E,D(add2)/F#
G/B,F/A,Bb/D,C/E,D/F#
G7/B,F7/A,Bb7/D,C7/E,D7/F#
A-,G-,C-,D-,E-
A-(add2),G-(add2),C-(add2),D-(add2),E-(add2)
A-Maj7,G-Maj7,C-Maj7,D-Maj7,E-Maj7
A-Maj9,G-Maj9,C-Maj9,D-Maj9,E-Maj9
Bdim/C,Adim/Bb,Ddim/Eb,Edim/F,F#dim/G
Bdim/D,Adim/C,Ddim/F,Edim/G,F#dim/A
C(add2)/G,Bb(add2)/F,Eb(add2)/Bb,F(add2)/C,G(add2)/D
C/G,Bb/F,Eb/Bb,F/C,G/D
Csus4,Bbsus4,Ebsus4,Fsus4,Gsus4
Csus4(add2),Bbsus4(add2),Ebsus4(add2),Fsus4(add2),Gsus4(add2)
D-(add2)/F,C-(add2)/Eb,F-(add2)/Ab,G-(add2)/Bb,A-(add2)/C
D-/C,C-/Bb,F-/Eb,G-/F,A-/G
D-/F,C-/Eb,F-/Ab,G-/Bb,A-/C
E,D,G,A,B
E(addb6),D(addb6),G(addb6),A(addb6),B(addb6)
E+,D+,G+,A+,B+
E7,D7,G7,A7,B7
E7(b13),D7(b13),G7(b13),A7(b13),B7(b13)
F(add2)/C,Eb(add2)/Bb,Ab(add2)/Eb,Bb(add2)/F,C(add2)/G
F/C,Eb/Bb,Ab/Eb,Bb/F,C/G
F/G,Eb/F,Ab/Bb,Bb/C,C/D
G(add2)/D,F(add2)/C,Bb(add2)/F,C(add2)/G,D(add2)/A
G/D,F/C,Bb/F,C/G,D/A
G13sus,F13sus,Bb13sus,C13sus,D13sus
G13sus(9),F13sus(9),Bb13sus(9),C13sus(9),D13sus(9)
G7/C,F7/Bb,Bb7/Eb,C7/F,D7/G
G7/D,F7/C,Bb7/F,C7/G,D7/A
G7sus,F7sus,Bb7sus,C7sus,D7sus
G9sus,F9sus,Bb9sus,C9sus,D9sus
Gsus4,Fsus4,Bbsus4,Csus4,Dsus4
Gsus4(add2),Fsus4(add2),Bbsus4(add2),Csus4(add2),Dsus4(add2)
A-(add2)/C,G-(add2)/Bb,C-(add2)/Eb,D-(add2)/F,E-(add2)/G
A-/C,G-/Bb,C-/Eb,D-/F,E-/G
Bdim/F,Adim/Eb,Ddim/Ab,Edim/Bb,F#dim/C
D-(add2)/A,C-(add2)/G,F-(add2)/C,G-(add2)/D,A-(add2)/E
D-/A,C-/G,F-/C,G-/D,A-/E
E/G#,D/F#,G/B,A/C#,B/D#
E7/G#,D7/F#,G7/B,A7/C#,B7/D#
G/F,F/Eb,Bb/Ab,C/Bb,D/C
G#dim,F#dim,Cbdim,Dbdim,Ebdim
G#dim7,F#dim7,Cbdim7,Dbdim7,Ebdim7
G#dim7(b13),F#dim7(b13),Cbdim7(b13),Dbdim7(b13),Ebdim7(b13)
G7/F,F7/Eb,Bb7/Ab,C7/Bb,D7/C
A-(add2)/E,G-(add2)/D,C-(add2)/G,D-(add2)/A,E-(add2)/B
A-/E,G-/D,C-/G,D-/A,E-/B
E/B,D/A,G/D,A/E,B/F#
E7(#9),D7(#9),G7(#9),A7(#9),B7(#9)
E7(b9),D7(b9),G7(b9),A7(b9),B7(b9)
E7/B,D7/A,G7/D,A7/E,B7/F#
E7sus,D7sus,G7sus,A7sus,B7sus
E7sus(b9),D7sus(b9),G7sus(b9),A7sus(b9),B7sus(b9)
Esus4,Dsus4,Gsus4,Asus4,Bsus4
Esus4(addb2),Dsus4(addb2),Gsus4(addb2),Asus4(addb2),Bsus4(addb2)
G#dim/B,F#dim/A,Cbdim/D,Dbdim/Fb,Ebdim/Gb
G13(b9),F13(b9),Bb13(b9),C13(b9),D13(b9)
G7(b9),F7(b9),Bb7(b9),C7(b9),D7(b9)
AbdimMaj7,GbdimMaj7,CbdimMaj7,DbdimMaj7,EbdimMaj7
Bdim11,Adim11,Ddim11,Edim11,F#dim11
Bdim7,Adim7,Ddim7,Edim7,F#dim7
Bdim7(b13),Adim7(b13),Ddim7(b13),Edim7(b13),F#dim7(b13)
E/D,D/C,G/F,A/G,B/A
E7/D,D7/C,G7/F,A7/G,B7/A
FMaj7(#11)(#9),EbMaj7(#11)(#9),AbMaj7(#11)(#9),BbMaj7(#11)(#9),CMaj7(#11)(#9)
G#dim/D,Gbdim/C,Cbdim/F,Dbdim/G,Ebdim/A
D-11(9)(b5),C-11(9)(b5),F-11(9)(b5),G-11(9)(b5),A-11(9)(b5)
F-Maj9,Eb-Maj9,Ab-Maj9,Bb-Maj9,C-Maj9
